tpu_id,old_min_tt,old_nearest_bcp,new_min_tt,new_nearest_bcp,min_tt_change,abs_min_tt_change,nearest_changed
111,86.0,LW,86.0,LW,0.0,0.0,False
112,76.0,LW,76.0,LW,0.0,0.0,False
113,72.0,LW,72.0,LW,0.0,0.0,False
114,71.0,LW,70.0,LW,-1.0,1.0,False
115,70.0,LW,70.0,LW,0.0,0.0,False
116,77.0,LW,77.0,LW,0.0,0.0,False
121,71.0,LW,71.0,LW,0.0,0.0,False
122,70.0,LW,70.0,LW,0.0,0.0,False
123,63.0,LW,63.0,LW,0.0,0.0,False
124,60.0,LW,60.0,LW,0.0,0.0,False
131,67.0,LW,66.0,LW,-1.0,1.0,False
132,67.0,LW,67.0,LW,0.0,0.0,False
133,67.0,LW,67.0,LW,0.0,0.0,False
134,59.0,LW,59.0,LW,0.0,0.0,False
135,63.0,LW,63.0,LW,0.0,0.0,False
140,81.0,LW,81.0,LW,0.0,0.0,False
141,88.0,LW,88.0,LW,0.0,0.0,False
142,71.0,LW,72.0,LW,1.0,1.0,False
143,75.0,LW,75.0,LW,0.0,0.0,False
144,75.0,LW,76.0,LW,1.0,1.0,False
145,82.0,LW,82.0,LW,0.0,0.0,False
146,70.0,LW,69.0,LW,-1.0,1.0,False
147,73.0,LW,73.0,LW,0.0,0.0,False
148,78.0,LW,78.0,LW,0.0,0.0,False
149,80.0,LW,79.0,LW,-1.0,1.0,False
151,73.0,LW,73.0,LW,0.0,0.0,False
152,82.0,LW,82.0,LW,0.0,0.0,False
153,75.0,LW,76.0,LW,1.0,1.0,False
154,85.0,LW,85.0,LW,0.0,0.0,False
155,80.0,LW,75.0,LW,-5.0,5.0,False
156,94.0,LW,94.0,LW,0.0,0.0,False
157,77.0,LW,76.0,LW,-1.0,1.0,False
161,82.0,LW,81.0,LW,-1.0,1.0,False
162,101.0,LW,100.0,LW,-1.0,1.0,False
163,93.0,LW,93.0,LW,0.0,0.0,False
164,99.0,LW,100.0,LW,1.0,1.0,False
165,89.0,LW,90.0,LW,1.0,1.0,False
166,89.0,LW,89.0,LW,0.0,0.0,False
171,89.0,LW,89.0,LW,0.0,0.0,False
172,84.0,LW,84.0,LW,0.0,0.0,False
173,99.0,LW,98.0,LW,-1.0,1.0,False
